icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
03II,1000,200,Turf,N,,,,,S,,,,
03IL,2600,105,Turf,18,,,,,36,,,,
03KY,2300,80,Turf,03,,,,,21,,,,
03MA,1600,60,Turf,12,,,,,30,,,,
03ME,2400,90,Turf,18,,,,,36,,,,
03MN,1940,75,Turf,17,,,,,35,,,,
03MT,2060,40,Turf,12,,,,,30,,,,
03MT,1675,40,Turf,02,,,,,20,,,,
03MU,2400,24,Asphalt,17,,,,,35,,,,
03N,2400,50,Gravel,07,,,,,25,,,,
03NC,3000,40,Asphalt,09,,,,,27,,,,
03ND,2600,50,Turf,17,,,,,35,,,,
03NV,3200,30,Turf,18,,,,,36,,,,
03NY,2000,75,Turf,16,,,,,34,,,,
03OH,2200,60,Turf,NE,,,,,SW,,,,
03OH,2100,60,Turf,N,,,,,S,,,,
03OK,1200,50,Turf,18,,,,,36,,,,
03OR,2950,60,Concrete,07,,,,,25,,,,
03PR,2926,65,Turf,09,,,961.0,,27,,,920.0,
03S,2115,100,Turf,08,45.40217,-122.23267,691.0,,26,45.401,-122.22467,704.0,
03TE,3500,100,Turf,12,,,,,30,,,,
03UT,5000,35,Gravel,NE,,,,,SW,,,,
03UT,3250,35,Gravel,NW,,,,,SE,,,,
03WA,2800,60,Gravel,18,,,,,36,,,,
03WN,1626,50,Gravel,09,45.875,-120.677,2314.0,,27,45.875,-120.6705,2320.0,
03WN,902,100,Turf,07,45.8755,-120.67383,2320.0,,25,45.87633,-120.6705,2320.0,
03XS,3200,50,Turf-Dirt,04,,,,,22,,,,
03XS,1600,50,Turf,15,,,,,33,,,,
04AA,1300,100,Turf,16,,,,,34,,,,
04AA,825,68,Turf,05,,,,,23,,,,
04CA,8000,150,Asphalt,08,,,,,26,,,,300
04CL,1900,100,Gravel-Dirt,08,,,,,26,,,,600
04FA,2620,212,Turf,09,,,,,27,,,,
04FL,3000,100,Turf,09,,,,,27,,,,
04I,2382,120,Turf,06,39.90917,-83.19283,920.0,,24,39.91317,-83.18467,920.0,
04IA,2310,84,Turf,18,,,,,36,,,,
04ID,3000,25,Dirt,07,,,,,25,,,,
04IL,1700,70,Turf,N,,,,,S,,,,
04IS,2200,150,Turf,09,,,,400,27,,,,
04KY,1700,30,Asphalt,15,,,,,33,,,,
04ME,1950,120,Turf,15,,,,,33,,,,
04MI,2000,100,Turf,18,,,,450,36,,,,225
04MN,2500,150,Turf,10,,,,,28,,,,
04MS,3400,100,Asphalt-Turf,17,,,,,35,,,,
04MT,2100,100,Turf,E,,,,,W,,,,
04MT,1900,100,Turf,N,,,,,S,,,,
04NE,2500,100,Turf,N,,,,,S,,,,
04NJ,3500,50,Turf,08,,,,600,26,,,,300
04NV,3240,45,Asphalt,02,,,,,20,,,,
04NY,5200,50,Turf,02,,,,,20,,,,1700
04OR,2600,18,Gravel,E,,,,,W,,,,
04TN,3000,40,Asphalt,01,,,,,19,,,,
04TX,2000,75,Turf,12,,,,,30,,,,
04UT,3700,50,Dirt,04,,,,,22,,,,
04V,7957,55,Gravel-Dirt,11,38.1045,-106.1865,7850.0,,29,38.09433,-106.162,7784.0,
04VG,3500,80,Turf,01,,,,,19,,,,
04VG,1800,70,Turf,11,,,,,29,,,,
04VT,1300,40,Turf,06,,,,,24,,,,
04W,2751,75,Asphalt,06,46.02133,-92.90017,1020.6,190,24,46.0245,-92.89017,1009.1,394
04WA,1800,60,Turf,N,,,,,S,,,,
04WI,1800,100,Turf,09,,,,,27,,,,
04WN,4100,60,Asphalt,11,,,,,29,,,,
05AK,2000,75,Turf-Gravel,01,,,,,19,,,,
05AR,2000,100,Turf,06,,,,,24,,,,
05CL,3700,60,Asphalt,10,,,,840,28,,,,340
05CO,2650,60,Turf,18,,,,,36,,,,
05FA,2950,100,Turf,08,,,,,26,,,,
05FL,2900,60,Turf,09,,,,420,27,,,,385
05FL,1300,50,Turf,15,,,,,33,,,,
05GA,2200,60,Asphalt,18,,,,,36,,,,
05IA,2450,65,Turf,09,,,,,27,,,,
05ID,2000,70,Turf-Gravel,03,,,,,21,,,,
05IL,3200,70,Turf,10,,,,700,28,,,,675
05IN,2000,100,Turf,08,,,,,26,,,,
05KS,2350,50,Turf,17,,,,,35,,,,
05KY,1270,75,Turf,02,,,,150,20,,,,
05LA,2200,70,Turf,18,32.2685,-91.698,77.0,,36,32.26233,-91.69783,75.0,
05LS,2300,100,Turf,02,,,,,20,,,,1000
05MD,2700,80,Turf,18,39.24783,-76.19917,,500,36,39.2405,-76.19817,,
05ME,900,40,Turf,E,,,,,W,,,,
05MT,1303,50,Turf,17,,,,,35,,,,
05NE,3210,80,Turf,15,,,,,33,,,,
05NV,4750,75,Dirt,03,,,,,21,,,,
05NV,4200,50,Dirt,14,,,,,32,,,,
05OI,2000,100,Turf,09,,,,,27,,,,500
05OR,2600,50,Turf,11,,,,,29,,,,
05PS,2219,100,Turf,06,,,,320,24,,,,895
05S,2940,45,Turf,09,45.85383,-123.248,647.0,,27,45.85033,-123.23767,650.0,
05TA,2200,100,Turf,17,,,,240,35,,,,120
05TE,1500,50,Turf,15,,,,,33,,,,
05TS,1700,90,Turf,17,,,,,35,,,,
05TX,2075,50,Turf,15,,,,,33,,,,
05V,6160,52,Dirt,03,37.40483,-105.55967,7696.0,,21,37.4175,-105.54567,7720.0,
05VA,2000,40,Turf,18,,,,,36,,,,
05WI,1800,60,Turf,E,,,,,W,,,,
05WN,1700,50,Turf-Gravel,07,,,,,25,,,,
05XS,2600,100,Turf,02,,,,,20,,,,
05Y,3280,200,Turf,17,46.30833,-95.44233,1440.0,,35,46.29967,-95.44233,1455.0,
06AK,2000,40,Gravel,02,,,,,20,,,,
06AR,2900,125,Turf,16,,,,,34,,,,
06CO,4500,75,Turf,17,,,,,35,,,,
06FA,7003,150,Asphalt,09,26.90817,-80.33917,27.6,241,27,26.90817,-80.31767,27.7,241
06FD,3400,120,Turf,18,,,,,36,,,,
06IA,1750,100,Turf,09,,,,,27,,,,
06ID,2200,80,Asphalt,09,,,,,27,,,,
06IL,2580,70,Turf,09,,,,,27,,,,
06IS,2600,70,Turf,18,,,,,36,,,,
06MO,3000,30,Asphalt,15,,,,,33,,,,
06MT,2200,60,Turf,E,,,,,W,,,,
06N,2810,60,Asphalt,08,41.43017,-74.39617,503.0,563,26,41.43367,-74.387,520.7,
06NC,2600,90,Turf,09,,,,,27,,,,500
06NH,1900,150,Turf,17,,,,,35,,,,
06NV,4000,50,Dirt,14,,,,,32,,,,
06NY,2000,75,Turf,15,,,,,33,,,,
06OH,2800,100,Turf,09,,,,100,27,,,,
06OI,2550,45,Turf,09,,,,,27,,,,48
06PA,2965,100,Turf,08,,,,,26,,,,
06R,2480,30,Asphalt,15,29.94417,-96.24667,292.0,,33,29.93783,-96.24383,236.0,
06TA,1900,15,Gravel,N,,,,,S,,,,
