icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
2M1,4400,70,Gravel,03,39.01433,-94.09033,851.0,,21,39.02483,-94.08267,860.0,
2M7,2800,90,Turf,15,,,,1200,33,,,,900
2MD0,2590,45,Turf,07,,,,,25,,,,
2MD1,1100,40,Asphalt,09,,,,,27,,,,
2MD3,1000,50,Turf,14,,,,,32,,,,
2MD4,2100,100,Turf,08,,,,,26,,,,
2MD5,2000,60,Turf,02,39.40517,-76.928,,,20,39.41067,-76.927,,
2MD6,2000,150,Turf,03,,,,,21,,,,
2MD8,2034,50,Turf,04,,,,,22,,,,
2me3,3000,80,Turf,17,,,,,35,,,,
2MI0,2400,75,Turf,09,,,,,27,,,,
2MI5,3050,50,Turf,09,,,,880,27,,,,480
2MI6,2250,100,Turf,17,,,,,35,,,,
2MI8,2300,50,Turf,10,,,,670,28,,,,740
2MI9,1800,100,Turf,E,,,,,W,,,,
2MI9,1450,100,Turf,N,,,,,S,,,,
2MN0,2600,60,Turf,09,,,,,27,,,,
2MN0,2200,72,Turf,18,,,,,36,,,,
2MN1,2600,60,Turf,18,,,,,36,,,,
2MN2,1700,60,Turf,09,,,,,27,,,,
2MN6,1600,80,Turf,17,,,,,35,,,,
2MN7,2300,80,Turf,09,,,,,27,,,,
2MN8,2500,40,Asphalt-Turf,09,,,,370,27,,,,
2MO0,1500,60,Turf,13,,,,,31,,,,
2MO0,1100,40,Turf,02,,,,,20,,,,
2MO1,1800,75,Turf,18,,,,,36,,,,
2MO2,1400,30,Turf,N,,,,,S,,,,
2MO4,2500,60,Turf,18,,,,100,36,,,,
2MO5,2700,100,Turf,01,,,,,19,,,,
2MO7,3400,50,Turf,17,,,,,35,,,,
2MO8,1320,100,Turf,09,,,,,27,,,,
2MO9,1320,100,Turf,N,,,,,S,,,,
2MS8,600,50,Turf,15,,,,,33,,,,
2MS9,3800,150,Turf,18,33.83817,-88.92267,,,36,33.82767,-88.92267,,
2MT0,1500,50,Turf,02,,,,,20,,,,
2MT1,2500,65,Turf,15,,,,,33,,,,
2MT2,2390,100,Turf,14,,,,,32,,,,
2MT5,2000,45,Turf,12,,,,,30,,,,
2MT8,3000,100,Turf,18,,,,,36,,,,
2MT9,1500,75,Turf,05,,,,,23,,,,
2MU9,2300,50,Turf,16,38.96833,-91.11917,725.0,,34,38.96217,-91.117,695.0,
2MY2,1320,60,Turf,18,,,,,36,,,,
2MY4,1200,70,Turf,11,,,,,29,,,,
2N2,1900,40,Asphalt,03,,,,,21,,,,
2N5,2550,100,Turf,05,40.04683,-76.98,592.0,303,23,40.05217,-76.97433,610.0,475
2N6,1830,50,Turf,06,,,,,24,,,,
2N6,1590,70,Turf,11,40.0275,-74.69367,73.0,,29,40.02683,-74.68817,78.0,
2NA0,1320,100,Turf,08,,,,,26,,,,
2NC0,2900,50,Asphalt,14,,,,,32,,,,
2NC1,1800,100,Turf,14,,,,,32,,,,
2NC4,1350,40,Turf,01,,,,,19,,,,
2NC6,1780,200,Turf,18,,,,,36,,,,
2NC7,3000,100,Turf,18,,,,,36,,,,500
2NC8,1300,100,Turf,07,,,,,25,,,,
2ND0,3175,120,Turf,17L,,,,,35R,,,,
2ND0,2700,75,Turf-Gravel,17R,,,,,35L,,,,
2ND1,2400,80,Turf,12,,,,,30,,,,
2ND2,2600,70,Turf,E,,,,,W,,,,
2ND3,1900,60,Turf,17,,,,,35,,,,
2ND7,4000,60,Turf,N,,,,,S,,,,
2ND7,2300,60,Turf,NW,,,,,SE,,,,
2ND9,5280,75,Turf,E,,,,,W,,,,
2NE0,3030,200,Turf,15,,,,,33,,,,
2NE4,2000,60,Turf,E,,,,,W,,,,
2NE4,1800,60,Turf,NE,,,,,SW,,,,
2NE4,1300,60,Turf,N,,,,,S,,,,
2NE5,2000,50,Turf,N,,,,,S,,,,
2NE6,2640,20,Turf,18,,,,,36,,,,
2NE7,3500,60,Turf,N,,,,,S,,,,
2NE7,2600,100,Turf,E,,,,,W,,,,
2NH5,1200,40,Turf,17,,,,,35,,,,300
2NH5,800,30,Turf,01,,,,,19,,,,
2NJ1,1800,75,Turf,08,,,,,26,,,,
2NJ3,2000,100,Turf,11,,,,,29,,,,
2NJ5,2000,50,Turf,12,,,,,30,,,,
2NJ6,2200,65,Turf,E,,,,,W,,,,
2NK3,1100,200,Turf,17,,,,200,35,,,,
2NK9,2800,100,Turf,18,,,,800,36,,,,30
2NV2,4000,40,Dirt,16,,,,,34,,,,
2NY0,1475,50,Turf,02,,,,,20,,,,
2NY4,2400,85,Turf,10,,,,,28,,,,
2NY7,2000,100,Turf,08,,,,,26,,,,
2NY9,5000,150,Water,04W,,,,,22W,,,,
2NY9,2400,70,Turf,08,,,,,26,,,,
2OA1,2100,70,Turf,09,,,,,27,,,,
2OA2,2900,65,Turf,09,,,,,27,,,,
2OA4,1987,150,Turf,09,,,,,27,,,,
2OA5,2500,85,Turf,08,,,,,26,,,,
2OA6,2090,52,Turf,02,,,,,20,,,,
2OA7,2425,50,Turf,18,38.85333,-84.11,890.0,,36,38.848,-84.10483,890.0,
2OG4,2500,50,Turf,17,,,,,35,,,,
2OG5,700,50,Turf,12,,,,,30,,,,
2OH0,2200,60,Turf,09,,,,,27,,,,
2OH2,2000,55,Turf,E,,,,,W,,,,
2OH4,2200,150,Turf,12,,,,400,30,,,,
2OH6,2000,60,Turf,18,,,,,36,,,,
2OH8,2500,75,Turf,NE,,,,,SW,,,,
2OH9,2800,150,Turf,09,,,,,27,,,,
2OI2,1400,80,Turf,01,,,,,19,,,,
2OI4,1600,60,Turf,09,,,,,27,,,,
2OK2,2702,30,Concrete,N,,,,,S,,,,
2OK4,1325,75,Turf,17,,,,,35,,,,
2OK5,2600,100,Turf,18,,,,,36,,,,
2OK7,2500,150,Turf,18,,,,,36,,,,
2OL2,2200,70,Turf,18,,,,300,36,,,,300
2OR0,1150,50,Turf,09,,,,,27,,,,
2OR1,4185,70,Asphalt,04,,,,,22,,,,
2OR3,2500,100,Turf,13,,,,,31,,,,
2OR4,5100,80,Gravel,11,,,,1000,29,,,,
2OR6,1900,50,Gravel-Dirt,03,,,,,21,,,,
2P2,2250,150,Turf,02,45.3845,-86.92533,650.4,,20,45.39017,-86.92167,643.1,
2P2,2232,150,Turf,14,45.39167,-86.92717,652.5,,32,45.38667,-86.922,636.2,
2P7,2840,50,Asphalt,01,40.053,-80.96367,1160.5,,19,40.06067,-80.96267,1186.5,
2PA1,2000,140,Turf,NE,,,,,SW,,,,
2PA3,1200,200,Turf,15,,,,,33,,,,
2PA4,1900,100,Turf,18,,,,,36,,,,
2PA5,2750,45,Turf,18,,,,,36,,,,
2PA6,1050,100,Turf,18,,,,,36,,,,
2PA7,1300,100,Turf,NW,,,,,SE,,,,
2PA8,1600,100,Turf,01,,,,,19,,,,
2PN1,1600,100,Turf,NE,41.98283,-77.518,1978.0,,SW,41.97983,-77.52217,1937.0,
2PN4,1000,150,Turf,02,,,,,20,,,,
2PN4,540,100,Turf,13,,,,,31,,,,
2PN5,2000,100,Turf,NE,,,,,SW,,,,
2PN7,1600,100,Asphalt,02,,,,,20,,,,
2PS3,1800,100,Turf,06,,,,,24,,,,
2Q5,815,40,Gravel,06,39.201,-119.68467,4938.9,,24,39.20217,-119.68217,4936.8,
2Q9,2870,50,Dirt,12,,,,,30,,,,
2S0,2701,60,Asphalt-Concrete,10,48.35233,-120.09883,,,28,48.34883,-120.089,,200
2S1,2001,60,Turf,17,47.46133,-122.4765,316.0,,35,47.45583,-122.4775,308.0,
2S2,4500,60,Dirt,18,43.1335,-121.80617,4632.0,,36,43.12167,-121.81117,4626.0,
2S5,2978,50,Asphalt,07,47.656,-120.0625,,270,25,47.656,-120.0505,,
2S6,2755,50,Asphalt,17,45.2985,-122.95317,181.0,369,35,45.29117,-122.95483,162.0,315
2SC5,3100,40,Asphalt,08,,,,,26,,,,
2SC7,1900,100,Turf,06,,,,,24,,,,
2SC8,3350,100,Turf,11,,,,,29,,,,
2SD0,2000,50,Turf,17,,,,,35,,,,
2SD4,2800,50,Turf,N,,,,,S,,,,
2SD7,2600,75,Turf,18,,,,,36,,,,
2SD9,2500,28,Asphalt,18,,,,,36,,,,
2T2,2000,100,Turf,18,39.01717,-88.53917,552.0,,36,39.01167,-88.53933,545.0,
2TA1,1500,200,Turf,17,,,,,35,,,,
2TA3,4000,50,Turf,12,,,,,30,,,,
2TA3,2800,50,Turf,08,,,,,26,,,,
2TA4,2050,40,Turf,04,,,,,22,,,,
2TA6,4700,72,Concrete,01,,,,200,19,,,,200
2TA8,5499,75,Asphalt,13,26.86333,-98.228,181.9,,31,26.85333,-98.2155,159.0,
2TE0,2700,140,Turf,11,,,,,29,,,,
2TE2,2800,150,Turf,15,32.833,-97.53633,720.0,,33,32.82567,-97.5335,720.0,
2TE3,1960,30,Turf,17,,,,,35,,,,
2TE4,1500,200,Turf,17,,,,,35,,,,
2TE5,2300,50,Turf,18,,,,,36,,,,
2TE6,3300,210,Turf,16,,,,,34,,,,
2TE7,2600,50,Turf,11,,,,,29,,,,
2TE7,2300,50,Turf,01,,,,,19,,,,
2TN2,2390,45,Asphalt,18,,,,,36,,,,
2TN4,2785,40,Concrete,16,,,,,34,,,,
2TN7,2400,60,Turf,05,,,,,23,,,,
2TN8,2075,50,Turf,01,,,,355,19,,,,400
2TS0,1250,60,Turf,15,,,,,33,,,,
2TS2,1900,120,Asphalt-Gravel,17,,,,,35,,,,
2TS3,2100,50,Turf,15,,,,,33,,,,
2TS4,3000,60,Turf,17,,,,,35,,,,
2TS6,3216,36,Concrete,17,32.51717,-96.92683,779.0,332,35,32.50833,-96.92683,748.0,272
2TS8,4200,25,Asphalt,15,,,,,33,,,,
2TX0,3800,60,Turf,17,,,,,35,,,,
2TX1,2588,80,Turf,12,,,,,30,,,,
2TX2,2000,40,Turf,03,,,,,21,,,,
2TX3,5280,50,Asphalt,18,,,,,36,,,,
2TX4,4800,60,Asphalt,17,,,,,35,,,,
2TX5,2300,80,Turf,NE,,,,,SW,,,,
2TX6,3400,100,Dirt,17,,,,,35,,,,
2TX6,2200,100,Dirt,08,,,,,26,,,,
2TX7,2300,50,Turf,17,,,,,35,,,,
2TX8,3300,250,Turf,N,,,,,S,,,,
2U0,5400,150,Turf-Dirt,06,43.496,-115.55667,4870.0,,24,43.50067,-115.53733,4958.0,
2U4,2800,50,Asphalt,16,43.19333,-112.53183,,,34,43.18567,-112.53183,,
2U5,2000,15,Turf,18,45.992,-114.83983,2632.0,,36,45.987,-114.84267,2591.0,
2U7,4300,150,Asphalt-Dirt,17,44.21433,-114.93283,6403.0,,35,44.20283,-114.93633,6395.0,
2U8,2100,75,Turf-Dirt,03,44.72117,-115.00667,4415.0,,21,44.7255,-115.00133,4363.0,
2UT2,2071,40,Turf,08,37.5275,-112.66433,8280.0,,26,37.52933,-112.6575,8280.0,
2UT3,3000,50,Gravel,16,,,,,34,,,,
2VA,2000,100,Turf,12,43.45133,-96.4055,1476.0,,30,43.44783,-96.3995,1443.0,
2VA0,1800,70,Turf,05,,,,,23,,,,
2VA1,2400,60,Turf,08,,,,400,26,,,,
2VA2,2900,60,Turf,03,,,,,21,,,,
2VA3,3200,100,Turf,14,37.32,-77.87033,270.0,,32,37.31367,-77.86283,250.0,
2VA5,2400,200,Turf,01,,,,,19,,,,
2VA6,3200,60,Turf,08,,,,,26,,,,
2VA8,2100,50,Turf,09,,,,,27,,,,75
2VA9,3250,50,Asphalt,03,,,,400,21,,,,
2VG2,5100,100,Asphalt,13,38.97517,-77.87767,557.7,,31,38.96817,-77.86217,519.9,
2VG3,1400,75,Turf,04,,,,,22,,,,
2VG7,1500,70,Turf,17,,,,,35,,,,
2VG8,2300,70,Turf,01,,,,,19,,,,
2W1,2055,30,Asphalt,08,47.178,-120.85667,,,26,47.17717,-120.8485,,
2W2,1840,30,Asphalt,14,39.4685,-77.02017,760.3,330,32,39.46567,-77.01483,798.6,277
2W3,2990,36,Asphalt,16,46.87567,-122.25667,843.0,,34,46.8675,-122.25767,841.0,
2WA1,2335,24,Asphalt,11,,,,100,29,,,,200
2WA3,1560,50,Dirt,09,,,,,27,,,,
2WA6,1800,30,Gravel,07,,,,,25,,,,
2WA8,3000,60,Gravel,02,,,,,20,,,,
2WA9,2600,60,Gravel,05,,,,,23,,,,
2WI1,1800,75,Turf,18,,,,700,36,,,,
2WI2,1600,300,Turf,NW,,,,,SE,,,,
2WI4,2200,70,Turf,07,,,,,25,,,,
2WI5,2000,60,Turf,09,,,,,27,,,,
2WI6,2500,100,Turf,N,,,,,S,,,,
2WI7,2114,50,Turf,04,,,,,22,,,,
2WI8,2500,80,Turf,15,,,,,33,,,,
2WI9,2500,60,Turf,01,,,,,19,,,,700
2WN3,2500,60,Turf,09,,,,,27,,,,660
2WN3,1001,60,Turf,18,,,,,36,,,,
2WN5,2500,100,Turf,11,,,,,29,,,,
2WN6,2500,60,Turf,04,,,,,22,,,,
2WN7,2200,66,Turf,18,,,,400,36,,,,
2WN9,2730,100,Turf,07,,,,,25,,,,
2WS2,1765,80,Turf,18,,,,,36,,,,
2WS3,1300,100,Turf,09,,,,,27,,,,
2WV3,3100,75,Turf,07,,,,,25,,,,
2WV5,1540,40,Turf,03,,,,,21,,,,
2WY3,2960,100,Turf,07,,,,,25,,,,
2WY8,1240,50,Turf-Gravel,04,,,,,22,,,,
2XA0,3200,39,Asphalt,17,,,,,35,,,,
2XA1,5500,75,Asphalt,13,,,,,31,,,,
2XA2,2400,100,Turf,04,,,,,22,,,,
2XA4,2500,40,Turf,18,,,,,36,,,,
2XA5,1876,95,Turf,13,,,,,31,,,,
2XA7,2100,40,Turf,15,,,,,33,,,,
2XS1,4600,75,Asphalt,18,30.22517,-98.30183,1187.8,600,36,30.21267,-98.30367,1179.0,201
2XS2,5164,50,Asphalt,15,28.26983,-100.16617,758.2,,33,28.257,-100.1595,754.2,
2XS3,4250,75,Asphalt,16,,,,,34,,,,
2XS4,1200,45,Turf,01,,,,,19,,,,
2XS5,3000,50,Asphalt,17,,,,,35,,,,
2XS6,2150,45,Turf,17,,,,400,35,,,,
2XS7,4000,50,Turf,08,,,,,26,,,,
2XS8,3300,80,Asphalt,15,,,,,33,,,,
2Y0,1985,105,Asphalt-Turf,17,43.08117,-95.6145,1476.0,,35,43.07583,-95.61433,1471.0,
2Y1,2480,90,Turf,09,42.3175,-93.41967,1173.0,,27,42.3175,-93.4105,1172.0,
2Z2,1500,35,Dirt,16,,,,,34,,,,
2Z3,950,40,Gravel,08,64.04233,-148.866,2817.0,,26,64.042,-148.86017,2817.0,
30AK,2400,150,Turf,16,,,,,34,,,,340
30AR,3000,125,Turf,17,,,,,35,,,,
30CO,1150,30,Gravel,04,,,,,22,,,,
30F,2815,30,Asphalt,18L,,,,,36R,,,,
30F,2600,75,Turf,18R,33.135,-97.014,534.0,,36L,33.12783,-97.0145,531.0,
30GA,5619,40,Asphalt,14,34.46367,-84.18717,1480.0,,32,34.45317,-84.17367,1497.0,
30IN,2000,70,Turf,NW,,,,,SE,,,,
30IS,2800,40,Asphalt,NE,,,,,SW,,,,225
30LL,1960,80,Turf,E,,,,,W,,,,
30M,2508,80,Asphalt,01,34.65567,-90.37683,,108,19,34.6625,-90.37567,,
30MI,1200,135,Turf,03,,,,,21,,,,
30MO,1500,150,Turf,13,,,,,31,,,,
30NC,2700,50,Turf,16,,,,,34,,,,
30NE,2600,60,Turf,17,40.35933,-98.68583,2044.0,,35,40.35217,-98.68583,2075.0,
30NY,2175,130,Turf,01,,,,,19,,,,
30OR,1200,60,Turf,10,,,,,28,,,,
30TA,4800,50,Gravel,13,,,,,31,,,,
30TE,4270,60,Turf,17,,,,,35,,,,
30TE,2500,80,Turf,08,,,,,26,,,,
30TX,2200,160,Turf,18,,,,,36,,,,
30WA,1600,30,Gravel,01,,,,,19,,,,
30WI,1200,40,Gravel,02,,,,,20,,,,
31AK,2400,100,Turf,06,,,,,24,,,,
31AZ,4800,140,Dirt,08,,,,,26,,,,
31D,1800,120,Turf,E,,,,,W,,,,
31FA,4060,80,Turf,09,,,,1200,27,,,,1250
31FL,3000,150,Turf,09,,,,,27,,,,
31IN,3000,100,Turf,09,,,,,27,,,,
31KS,2400,75,Turf,17,37.997,-97.9265,1528.0,,35,37.9905,-97.9265,1536.0,
31KY,2800,75,Turf,16,,,,,34,,,,
31MA,1300,150,Turf,15,,,,,33,,,,
31MO,2200,50,Turf,E,,,,,W,,,,
31MO,1300,50,Turf,N,,,,,S,,,,
31MT,1337,40,Turf,03,,,,,21,,,,
31TS,1900,50,Turf,06,,,,,24,,,,
31TS,1150,40,Turf,03,,,,,21,,,,
31TX,1950,120,Turf,17,,,,,35,,,,
31VA,5921,60,Asphalt,02,37.01233,-76.59117,23.1,,20,37.02817,-76.58667,28.6,
31WI,4548,50,Asphalt,06,,,,,24,,,,
31WN,1850,60,Turf,09,,,,,27,,,,
31XS,2325,60,Turf,17,,,,,35,,,,
32AK,1700,50,Turf,16,,,,,34,,,,
32AK,1410,100,Turf,02,,,,,20,,,,
32CA,2540,30,Asphalt,16,,,,,34,,,,
32CL,2500,50,Gravel-Treated,N,,,,,S,,,,
32CO,3240,50,Gravel,09,,,,,27,,,,
32FA,5000,100,Turf,08,,,,,26,,,,
32GA,2700,175,Turf,08,,,,,26,,,,
32II,2000,100,Turf,07,,,,,25,,,,
32IS,1800,70,Turf,09,,,,,27,,,,
32KS,2800,50,Turf,18,,,,,36,,,,
32LS,2000,50,Turf,09,,,,,27,,,,
32MD,3000,100,Turf,13,,,,,31,,,,
32MN,2100,200,Turf,E,,,,,W,,,,
32MO,2000,50,Turf,02,,,,,20,,,,
32MS,2500,150,Turf,18,,,,,36,,,,
32NC,2000,200,Turf,03,,,,,21,,,,
32NE,2000,50,Turf,12,,,,,30,,,,
32NK,1600,100,Turf,07,,,,,25,,,,400
32OH,1800,75,Turf,18,,,,,36,,,,
32OR,2433,125,Turf-Gravel,07,,,,,25,,,,
32PN,1800,100,Turf,E,,,,,W,,,,
32TA,2600,100,Turf,18,,,,,36,,,,
32TE,2000,50,Turf-Dirt,02,,,,,20,,,,
32VA,1890,75,Turf,08,,,,,26,,,,
32WI,2050,50,Turf,09,,,,,27,,,,
32WN,800,80,Turf,09U,,,,,27U,,,,
33A,2770,30,Asphalt,14,35.16,-82.127,1027.0,,32,35.15467,-82.1205,1017.0,
33AK,1240,38,Gravel,01,,,,,19,,,,
33AR,2300,100,Turf,09,,,,,27,,,,
33AZ,4000,50,Gravel,14,,,,,32,,,,
33C,2995,100,Turf,09,43.08183,-86.102,634.0,998,27,43.08183,-86.09083,634.0,796
33CL,2200,50,Asphalt,17,,,,,35,,,,
33CO,7400,40,Turf,03,,,,,21,,,,
33CT,1450,100,Turf,16,,,,,34,,,,
33FA,4000,230,Turf,15,,,,,33,,,,
33FD,2500,100,Turf,17,,,,750,35,,,,75
33FL,3800,100,Turf,04,,,,300,22,,,,300
33GA,2000,50,Turf,01,,,,,19,,,,
33ID,1200,60,Turf,08,43.37933,-114.7695,5128.0,,26,0.0,0.0,,
33IL,1835,105,Turf,18,,,,160,36,,,,
33KS,2500,80,Turf,01,,,,,19,,,,
33KS,2000,80,Turf,17,,,,,35,,,,
33KY,1300,50,Turf,11,,,,,29,,,,
33LA,2600,100,Turf,18,,,,,36,,,,
33NC,1800,150,Turf,18,,,,,36,,,,
33NE,3585,30,Turf,10,,,,,28,,,,
33NE,1450,30,Turf,13,,,,,31,,,,
33NR,3300,70,Asphalt,08,,,,,26,,,,
33NY,3000,100,Turf,17,,,,,35,,,,
33OH,1875,65,Turf,18,,,,,36,,,,
33OI,2400,45,Turf,01,,,,,19,,,,
33OK,2625,60,Turf,18,,,,,36,,,,
33OR,3000,50,Turf,15,,,,,33,,,,
33TA,2579,200,Turf,17,,,,,35,,,,
33VA,1600,60,Turf,13,,,,,31,,,,
33WA,2500,30,Gravel,E,,,,,W,,,,
34AK,1200,50,Gravel,03,,,,,21,,,,
34AR,2700,80,Turf,09,,,,,27,,,,
34CD,1800,66,Turf,10,,,,,28,,,,
34CN,4100,100,Treated,07,,,,,25,,,,
34CO,2400,30,Dirt-Gravel,NW,,,,,SE,,,,
34FD,3335,100,Turf,17,,,,,35,,,,
34G,3608,100,Turf,18,41.974,-83.9235,820.0,261,36,41.964,-83.9235,820.0,486
34ID,2300,35,Gravel,07,,,,,25,,,,
34II,1250,120,Turf,09,,,,,27,,,,
34IL,2000,90,Turf,16,,,,,34,,,,
34KY,2440,50,Asphalt-Turf,18,,,,500,36,,,,350
34KY,1620,50,Concrete,10,,,,200,28,,,,
34LA,3000,50,Turf,12,,,,,30,,,,
34MI,1300,150,Turf,09,,,,,27,,,,400
34MS,1000,60,Turf,07,,,,,25,,,,
34ND,2600,60,Turf,18,,,,,36,,,,
34NE,2640,40,Turf,N,,,,,S,,,,
34NY,2200,60,Turf,18,,,,,36,,,,
34NY,1300,80,Turf,10,,,,,28,,,,
34OH,2000,80,Turf,18,,,,,36,,,,
34OI,2900,100,Turf,04,,,,,22,,,,
34OI,2300,75,Turf,09,,,,,27,,,,
34PA,1700,100,Turf,17,,,,,35,,,,
34PN,1230,100,Turf,05,,,,,23,,,,100
34TA,1400,100,Turf,17,,,,,35,,,,
34TE,3030,40,Turf,17,,,,,35,,,,
34TS,2600,45,Asphalt,01,,,,,19,,,,
34U,2975,100,Turf,18,44.84383,-85.4315,625.0,,36,44.83567,-85.4315,625.0,
34WI,1200,60,Turf,08,,,,,26,,,,
34XS,900,50,Turf,18,30.392,-95.53967,223.0,,36,30.3895,-95.53983,225.0,
35AZ,3500,50,Asphalt-Dirt,01,,,,,19,,,,
35C,2200,100,Turf,18,43.13167,-85.50533,890.0,,36,43.12567,-85.50517,890.0,
35CN,2600,50,Gravel,N,,,,,S,,,,
35CO,5250,55,Turf,14,,,,,32,,,,
35CO,4900,40,Gravel,08,,,,,26,,,,
35CO,1900,55,Gravel,16,,,,,34,,,,
35FA,4600,200,Turf,10,,,,300,28,,,,
35FA,3400,200,Turf,04,,,,700,22,,,,
35FD,2000,120,Turf,18,,,,,36,,,,
35IL,2000,75,Turf,09,,,,,27,,,,
35IN,2900,100,Turf,N,,,,,S,,,,
35IS,2620,90,Turf,18,,,,,36,,,,
35KY,2000,100,Turf,11,,,,,29,,,,
35LA,1600,65,Turf,09,,,,200,27,,,,200
35ME,1645,30,Gravel,18,43.8735,-68.89467,12.0,,36,43.86933,-68.8925,45.0,
35MI,2600,100,Turf,06,,,,,24,,,,
35MN,2300,150,Turf,03,,,,,21,,,,
35NC,2100,100,Turf,16,,,,,34,,,,
35NE,2800,125,Turf,17,,,,,35,,,,
35OL,2500,50,Turf,17,,,,,35,,,,
35TS,3055,50,Turf,17,,,,,35,,,,
35TX,1700,75,Turf,16,32.48683,-99.8265,1750.0,,34,32.48233,-99.8255,1750.0,
35WA,1800,100,Turf-Dirt,06,,,,,24,,,,
35WI,2350,130,Turf,N,,,,,S,,,,
36AK,2100,100,Water,17W,,,,,35W,,,,
36AK,2000,75,Turf,18,,,,,36,,,,
36AK,1300,75,Turf,09,,,,,27,,,,
36AL,3000,60,Turf,17,,,,,35,,,,
36AR,3000,65,Turf,18,,,,,36,,,,
36CA,3300,30,Asphalt,16,,,,,34,,,,
36CO,3000,60,Gravel-Dirt,17,,,,,35,,,,
36GA,1500,100,Turf,N,,,,,S,,,,
36II,1800,100,Turf,01,,,,,19,,,,
36IN,1200,100,Turf,NE,,,,,SW,,,,
36KS,2690,50,Turf,01,37.47167,-95.34433,990.0,,19,37.479,-95.343,1003.0,
36KY,2250,90,Turf,14,,,,,32,,,,
36KY,2100,100,Turf,06,,,,,24,,,,
36MO,2750,150,Turf,09,,,,,27,,,,
36NC,3200,32,Asphalt-Turf,05,,,,700,23,,,,
36NE,2600,75,Turf,15,,,,,33,,,,
36OH,1800,80,Turf,06,,,,,24,,,,
36OK,2000,100,Turf,18,,,,,36,,,,
36OR,1600,25,Turf,12,,,,,30,,,,
36TN,1800,60,Turf,13,,,,,31,,,,
36TX,2000,75,Turf,17,,,,,35,,,,
36WA,1780,50,Turf,13,,,,,31,,,,
36WI,3200,60,Asphalt,18,,,,300,36,,,,300
36XS,2500,40,Turf,17,,,,,35,,,,
37AZ,2800,80,Asphalt-Dirt,17,,,,,35,,,,
37CA,2200,40,Dirt,04,,,,,22,,,,
37CL,1700,50,Treated-Dirt,04,,,,,22,,,,
37FL,2400,100,Turf,18,,,,575,36,,,,200
37I,3450,100,Turf,05,,,,225,23,,,,985
37ID,2248,75,Turf,02,,,,450,20,,,,
37IL,1600,85,Turf,E,,,,,W,,,,
37IN,1900,150,Turf,18,,,,,36,,,,
37IS,1900,70,Turf,09,,,,,27,,,,
37LA,2200,120,Turf,17,,,,,35,,,,
37LL,1750,70,Turf,06,,,,,24,,,,
37M,2648,47,Asphalt,18,36.0445,-90.15067,247.6,,36,36.03733,-90.15083,247.0,
37M,2000,60,Turf,06,36.04233,-90.15017,245.5,,24,36.0445,-90.14383,246.3,
37MI,2550,150,Turf,01,,,,800,19,,,,800
37MI,2550,150,Turf,08,,,,800,26,,,,800
37MO,2260,60,Turf,18,39.56917,-94.18467,995.0,,36,39.563,-94.18467,966.0,
37N,3195,60,Turf-Gravel,11,47.485,-101.41367,1719.0,,29,47.48033,-101.40267,1704.0,
37ND,1600,50,Turf,16,,,,,34,,,,
37NE,2000,60,Turf,15,,,,,33,,,,
37OR,4500,40,Gravel,NE,,,,,SW,,,,
37PA,2500,100,Turf,09,,,,,27,,,,
37S,4100,125,Turf,12,,,,580,30,,,,640
37S,2700,100,Turf,05,48.00333,-106.483,2289.0,,23,48.00633,-106.47283,2245.0,
37TE,2000,60,Turf,16,,,,,34,,,,
37TE,2000,60,Turf,17,,,,,35,,,,
37TS,1900,100,Turf,18,,,,,36,,,,
37TX,2200,100,Turf,04,31.32017,-98.86867,1391.0,,22,31.323,-98.8625,1418.0,
37VT,1600,50,Turf,01,,,,,19,,,,
37WA,3000,50,Gravel,16,,,,,34,,,,
37WI,1800,75,Turf,15,,,,,33,,,,
37XS,2067,80,Turf-Dirt,14,,,,,32,,,,
38AK,1500,400,Water,09W,,,,,27W,,,,
38AK,1500,80,Turf,18,,,,,36,,,,
38AR,2000,50,Turf,18,,,,,36,,,,
38AZ,7500,75,Asphalt,02,36.46317,-110.42517,6510.7,,20,36.48017,-110.41067,6579.8,
38C,3472,100,Turf,18,43.60317,-85.4925,895.0,486,36,43.59367,-85.4925,897.0,384
38CL,2380,35,Asphalt,16,,,,,34,,,,220
38CN,2745,95,Asphalt-Gravel,16,,,,,34,,,,
38FA,2400,50,Turf,18,,,,400,36,,,,
38I,2534,75,Turf,09,40.09083,-83.694,1150.0,,27,40.0915,-83.68467,1150.0,
38ID,2000,35,Turf-Dirt,09,,,,,27,,,,
38II,2400,80,Turf,01,,,,300,19,,,,300
38IN,2000,125,Turf,09,,,,,27,,,,
38IS,1740,70,Turf,N,,,,,S,,,,
38K,2904,50,Asphalt,17,,,,,35,,,,
38LA,3000,100,Turf,05,,,,,23,,,,
38LS,3000,250,Turf,05,,,,,23,,,,
38MI,2400,60,Asphalt-Turf,10,,,,,28,,,,400
38MN,2400,50,Turf,E,,,,,W,,,,
38MO,2900,60,Turf,18,,,,1000,36,,,,
38N,2600,125,Turf,10,39.3035,-75.58833,,,28,39.30383,-75.57917,,
38ND,1800,50,Turf,12,,,,,30,,,,
38NE,2940,24,Asphalt,17,,,,,35,,,,
38NY,1950,50,Turf,NE,,,,,SW,,,,
38OH,2550,60,Turf,18,,,,,36,,,,
38OI,3000,90,Turf,09,,,,,27,,,,
